Venue Name,Location,Google Maps URL,Venue Website,Image URL 1 (Main),Image URL 2 (Optional),Image URL 3 (Optional),Notes
"Hialeah Park Racing & Casino","100 E 32nd St, Hialeah, FL 33013","https://maps.google.com/maps?q=Hialeah%20Park%20Racing%20%26%20Casino%2C%20100%20E%2032nd%20St%2C%20Hialeah%2C%20FL%2033013","https://hialeahparkcasino.com/events",,,,"NEEDS_IMAGES"
"The Surfcomber Hotel","Miami Beach, Miami-Dade","https://maps.google.com/maps?q=The%20Surfcomber%20Hotel%2C%20Miami%20Beach%2C%20Miami-Dade","https://www.kimptonsurfcomber.com/",,,,"NEEDS_IMAGES"
"MB Hotel","Miami Beach, Miami-Dade","https://maps.google.com/maps?q=MB%20Hotel%2C%20Miami%20Beach%2C%20Miami-Dade","https://www.wyndhamhotels.com/trademark/miami-beach-florida/mb-hotel-trademark-collection/overview",,,,"NEEDS_IMAGES"
"Sea Watch on the Ocean","Fort Lauderdale, Broward","https://maps.google.com/maps?q=Sea%20Watch%20on%20the%20Ocean%2C%20Fort%20Lauderdale%2C%20Broward","https://www.seawatchontheocean.com/",,,,"NEEDS_IMAGES"
"Sea Watch on the Ocean","Fort Lauderdale, Broward","https://maps.google.com/maps?q=Sea%20Watch%20on%20the%20Ocean%2C%20Fort%20Lauderdale%2C%20Broward","https://www.seawatchontheocean.com/",,,,"NEEDS_IMAGES"
"Emeril Lagasse Foundation Innovation Kitchen","Sunrise, Broward","https://maps.google.com/maps?q=Emeril%20Lagasse%20Foundation%20Innovation%20Kitchen%2C%20Sunrise%2C%20Broward","https://www.arcculinary.com/innovation-kitchen",,,,"NEEDS_IMAGES"
"Emeril Lagasse Foundation Innovation Kitchen","Sunrise, Broward","https://maps.google.com/maps?q=Emeril%20Lagasse%20Foundation%20Innovation%20Kitchen%2C%20Sunrise%2C%20Broward","https://www.arcculinary.com/innovation-kitchen",,,,"NEEDS_IMAGES"
"Coastal Yacht Charters","Fort Lauderdale, Broward","https://maps.google.com/maps?q=Coastal%20Yacht%20Charters%2C%20Fort%20Lauderdale%2C%20Broward","https://www.coastalyachtcharters.com/",,,,"NEEDS_IMAGES"
"Coastal Yacht Charters","Fort Lauderdale, Broward","https://maps.google.com/maps?q=Coastal%20Yacht%20Charters%2C%20Fort%20Lauderdale%2C%20Broward","https://www.coastalyachtcharters.com/",,,,"NEEDS_IMAGES"
"Vizcaya Museum & Gardens","Coconut Grove, Miami-Dade","https://maps.google.com/maps?q=Vizcaya%20Museum%20%26%20Gardens%2C%20Coconut%20Grove%2C%20Miami-Dade","https://vizcaya.org/weddings-celebrations/",,,,"NEEDS_IMAGES"
