Name,City,Phone,Website,Full Address
"Hialeah Park Racing & Casino","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"The Surfcomber Hotel","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"MB Hotel","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Sea Watch on the Ocean","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Emeril Lagasse Foundation Innovation Kitchen","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Coastal Yacht Charters","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Vizcaya Museum & Gardens","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Ancient Spanish Monastery","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"The Cooper Estate","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Curtiss Mansion","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Thalatta Estate","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Deering Estate","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Fairchild Tropical Botanic Garden","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Historic Walton House","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Woman's Club of Coconut Grove","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"The Bath Club","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"The Cruz Building","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Rusty Pelican","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Briza on the Bay","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Penthouse at Riverside Wharf","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Signature Grand","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Jacaranda Country Club","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Deer Creek Country Club","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Bonnet House Museum & Gardens","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Stranahan House","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Secret Gardens Miami","undefined","N/A","N/A","undefined, undefined, undefined undefined"
"Villa Woodbine","undefined","N/A","N/A","undefined, undefined, undefined undefined"
